shape_id,begin,end
21-201-5-sj2-1.1.H,"1","376"
21-201-4-sj2-1.1.H,"1","508"
21-201-3-sj2-1.1.H,"1","160"
21-201-0-sj2-1.1.H,"1","142"
21-200-9-sj2-1.1.H,"1","147"
21-203-2-sj2-1.1.H,"1","787"
21-203-1-sj2-1.1.H,"1","293"
21-202-9-sj2-1.1.H,"1","462"
21-202-8-sj2-1.1.H,"1","418"
21-202-7-sj2-1.1.H,"1","384"
21-202-6-sj2-1.1.H,"1","252"
21-202-5-sj2-1.1.H,"1","161"
21-202-4-sj2-1.1.H,"1","226"
21-204-1-sj2-1.1.H,"1","359"
21-204-0-sj2-1.1.H,"1","491"
21-203-9-sj2-1.1.H,"1","504"
21-203-8-sj2-1.1.H,"1","489"
21-203-7-sj2-1.1.H,"1","261"
38-S52-8-sj2-1.1.R,"1","467"
21-203-5-sj2-1.1.H,"1","131"
38-S52-7-sj2-1.1.H,"1","289"
21-203-4-sj2-1.1.H,"1","524"
38-S52-6-sj2-1.1.H,"1","173"
21-203-3-sj2-1.1.H,"1","139"
38-S52-5-sj2-1.1.H,"1","896"
21-205-2-sj2-1.1.H,"1","624"
38-S52-4-sj2-1.1.R,"1","79"
21-205-1-sj2-1.1.H,"1","441"
21-204-8-sj2-1.1.H,"1","881"
38-S52-1-sj2-1.1.H,"1","289"
21-204-6-sj2-1.1.H,"1","436"
38-S54-5-sj2-1.1.H,"1","486"
21-204-5-sj2-1.1.H,"1","757"
38-S54-2-sj2-1.1.H,"1","107"
21-204-2-sj2-1.1.H,"1","303"
21-206-1-sj2-1.1.H,"1","301"
21-206-0-sj2-1.1.H,"1","240"
38-S53-3-sj2-1.1.H,"1","800"
21-205-8-sj2-1.1.H,"1","666"
38-S53-2-sj2-1.1.R,"1","746"
20-410-5-sj2-1.1.R,"1","541"
21-205-7-sj2-1.1.H,"1","114"
38-S55-9-sj2-1.1.H,"1","407"
21-205-6-sj2-1.1.H,"1","526"
21-205-5-sj2-1.1.H,"1","968"
21-205-4-sj2-1.1.H,"1","458"
21-205-3-sj2-1.1.H,"1","1117"
20-795-sj2-1.3.R,"1","554"
20-795-sj2-1.2.R,"1","600"
38-S54-5-sj2-1.2.H,"1","150"
20-795-sj2-1.10.R,"1","637"
38-S57-5-sj2-1.1.H,"1","796"
38-S56-9-sj2-1.1.H,"1","84"
20-411-0-sj2-1.1.R,"1","578"
38-S56-6-sj2-1.1.H,"1","84"
38-S56-4-sj2-1.2.H,"1","1052"
38-S56-4-sj2-1.1.H,"1","1038"
38-S56-3-sj2-1.1.H,"1","106"
20-795-sj2-1.8.R,"1","610"
20-795-sj2-1.7.R,"1","575"
20-795-sj2-1.5.R,"1","548"
20-795-sj2-1.4.R,"1","550"
38-S59-0-sj2-1.1.R,"1","294"
38-S58-9-sj2-1.1.R,"1","532"
38-S58-8-sj2-1.1.R,"1","294"
20-414-7-sj2-1.1.R,"1","333"
20-451-0-sj2-1.1.H,"1","348"
20-450-9-sj2-1.1.H,"1","294"
21-100-5-sj2-1.1.R,"1","581"
21-100-4-sj2-1.1.R,"1","233"
21-100-3-sj2-1.1.R,"1","145"
21-100-2-sj2-1.1.R,"1","211"
21-100-1-sj2-1.1.R,"1","572"
21-101-3-sj2-1.1.R,"1","651"
