locality,Jobs,cutoff,X,T_freq,L_freq
CARNES HILL,352964.407056799,60,1,0.0,1.0
ELIZABETH HILLS,226127.457266498,60,1,0.0,1.0
CECIL PARK,323.0,60,1,0.0,1.0
LEN WATERS ESTATE,,60,1,0.0,1.0
LEPPINGTON,131372.398886827,60,1,0.0,1.0
BRINGELLY,201795.096485623,60,1,0.0,1.0
GREENDALE,1584.66666666667,60,1,0.0,1.0
BADGERYS CREEK,591145.553884712,60,1,0.0,1.0
KEMPS CREEK,623005.980074218,60,1,0.0,1.0
WALLACIA,9802.84424778761,60,1,0.0,1.0
AUSTRAL,444198.96721770003,60,1,0.0,1.0
ROSSMORE,489105.184692559,60,1,0.0,1.0
SILVERDALE,669.103448275862,60,1,0.0,1.0
BUSBY,2295.98498233216,15,2,0.0,2.0
MILLER,3285.19985762591,15,2,0.0,2.0
CASULA,1097.1858590946301,15,2,0.0,2.0
CARTWRIGHT,5017.7248247879,15,2,0.0,2.0
HECKENBERG,1464.03841269841,15,2,0.0,2.0
SADLEIR,1830.28248932276,15,2,0.0,2.0
LURNEA,2686.55118369136,15,2,0.0,2.0
ASHCROFT,1236.016358273,15,2,0.0,2.0
LIVERPOOL,13403.8317150266,15,2,0.0,2.0
MOOREBANK,1579.99492157104,15,2,0.0,2.0
WARWICK FARM,11036.2548048346,15,2,0.0,2.0
WATTLE GROVE,777.5886426592799,15,2,0.0,2.0
CHIPPING NORTON,1782.1044469783399,15,2,0.0,2.0
HOLSWORTHY,1227.71644983069,15,2,0.0,2.0
HAMMONDVILLE,1756.19961333978,15,2,0.0,2.0
MOUNT PRITCHARD,998.9365942028991,15,2,0.0,2.0
PRESTONS,1101.42909498878,15,2,0.0,2.0
VOYAGER POINT,191.905311778291,15,2,0.0,2.0
PLEASURE POINT,145.23381294964,15,2,0.0,2.0
WEST HOXTON,1405.38449197861,15,2,0.0,2.0
CECIL HILLS,700.9210326499621,15,2,0.0,2.0
HOXTON PARK,2301.83937512518,15,2,0.0,2.0
HINCHINBROOK,1445.16816874401,15,2,0.0,2.0
GREEN VALLEY,1708.42089552239,15,2,0.0,2.0
HORNINGSEA PARK,1472.83783783784,15,2,0.0,2.0
MIDDLETON GRANGE,1220.5115564298,15,2,0.0,2.0
DENHAM COURT,140.513755274262,15,2,0.0,2.0
EDMONDSON PARK,617.055694640978,15,2,0.0,2.0
LUDDENHAM,2351.53286713287,15,2,0.0,2.0
CARNES HILL,2115.2762478485397,15,2,0.0,2.0
ELIZABETH HILLS,593.642264695276,15,2,0.0,2.0
CECIL PARK,323.0,15,2,0.0,2.0
LEN WATERS ESTATE,,15,2,0.0,2.0
LEPPINGTON,136.547309833024,15,2,0.0,2.0
BRINGELLY,2167.33056443024,15,2,0.0,2.0
GREENDALE,108.083333333333,15,2,0.0,2.0
BADGERYS CREEK,1570.5012531328302,15,2,0.0,2.0
KEMPS CREEK,2537.3878670538897,15,2,0.0,2.0
WALLACIA,15.918584070796499,15,2,0.0,2.0
AUSTRAL,7005.993286901071,15,2,0.0,2.0
ROSSMORE,2672.80132248993,15,2,0.0,2.0
SILVERDALE,0.206896551724138,15,2,0.0,2.0
BUSBY,29068.0516784452,30,2,0.0,2.0
MILLER,39979.430325680696,30,2,0.0,2.0
CASULA,22326.2332053139,30,2,0.0,2.0
CARTWRIGHT,79789.9288085577,30,2,0.0,2.0
HECKENBERG,32415.0320634921,30,2,0.0,2.0
SADLEIR,19666.9069554606,30,2,0.0,2.0
LURNEA,51883.4846558527,30,2,0.0,2.0
ASHCROFT,24944.2290158219,30,2,0.0,2.0
LIVERPOOL,64833.1242973142,30,2,0.0,2.0
MOOREBANK,26738.819756726898,30,2,0.0,2.0
WARWICK FARM,55794.534046628396,30,2,0.0,2.0
WATTLE GROVE,4084.1965499874104,30,2,0.0,2.0
CHIPPING NORTON,17969.1571265678,30,2,0.0,2.0
HOLSWORTHY,6385.52058456603,30,2,0.0,2.0
HAMMONDVILLE,5506.5033832769395,30,2,0.0,2.0
MOUNT PRITCHARD,55470.0597826087,30,2,0.0,2.0
PRESTONS,25017.089902767402,30,2,0.0,2.0
VOYAGER POINT,2833.2344110854497,30,2,0.0,2.0
PLEASURE POINT,850.544964028777,30,2,0.0,2.0
WEST HOXTON,32474.738502673797,30,2,0.0,2.0
CECIL HILLS,6115.37858769932,30,2,0.0,2.0
HOXTON PARK,40402.3078309633,30,2,0.0,2.0
HINCHINBROOK,26251.568552253102,30,2,0.0,2.0
GREEN VALLEY,17459.8823529412,30,2,0.0,2.0
HORNINGSEA PARK,11966.353492106002,30,2,0.0,2.0
MIDDLETON GRANGE,37134.925129087795,30,2,0.0,2.0
DENHAM COURT,814.0016877637131,30,2,0.0,2.0
EDMONDSON PARK,10266.308479373001,30,2,0.0,2.0
LUDDENHAM,6220.87692307692,30,2,0.0,2.0
CARNES HILL,35514.1622203098,30,2,0.0,2.0
ELIZABETH HILLS,8112.59213847818,30,2,0.0,2.0
CECIL PARK,323.0,30,2,0.0,2.0
LEN WATERS ESTATE,,30,2,0.0,2.0
LEPPINGTON,4980.61966604824,30,2,0.0,2.0
BRINGELLY,18317.3608803692,30,2,0.0,2.0
GREENDALE,441.75,30,2,0.0,2.0
BADGERYS CREEK,63448.01503759401,30,2,0.0,2.0
KEMPS CREEK,71239.2719425621,30,2,0.0,2.0
WALLACIA,183.617699115044,30,2,0.0,2.0
AUSTRAL,61568.2940337333,30,2,0.0,2.0
ROSSMORE,68331.44873451389,30,2,0.0,2.0
SILVERDALE,12.3448275862069,30,2,0.0,2.0
BUSBY,138707.54748233198,45,2,0.0,2.0
MILLER,174061.74532835,45,2,0.0,2.0
CASULA,126731.941761632,45,2,0.0,2.0
CARTWRIGHT,252278.31206197,45,2,0.0,2.0
HECKENBERG,115212.206984127,45,2,0.0,2.0
SADLEIR,98080.35814521051,45,2,0.0,2.0
LURNEA,173373.367821131,45,2,0.0,2.0
ASHCROFT,86024.840976133,45,2,0.0,2.0
LIVERPOOL,213625.21181837103,45,2,0.0,2.0
MOOREBANK,148653.7250686,45,2,0.0,2.0
WARWICK FARM,195615.73845849,45,2,0.0,2.0
WATTLE GROVE,14867.1829513976,45,2,0.0,2.0
CHIPPING NORTON,116529.387457241,45,2,0.0,2.0
HOLSWORTHY,52015.4304045625,45,2,0.0,2.0
HAMMONDVILLE,15473.739971000501,45,2,0.0,2.0
MOUNT PRITCHARD,152923.309782609,45,2,0.0,2.0
PRESTONS,127952.418997756,45,2,0.0,2.0
VOYAGER POINT,20365.668591224,45,2,0.0,2.0
PLEASURE POINT,5597.01978417266,45,2,0.0,2.0
WEST HOXTON,149897.33144385,45,2,0.0,2.0
CECIL HILLS,50094.1646165528,45,2,0.0,2.0
HOXTON PARK,171526.818345684,45,2,0.0,2.0
HINCHINBROOK,145249.752540748,45,2,0.0,2.0
GREEN VALLEY,111106.090079017,45,2,0.0,2.0
HORNINGSEA PARK,100774.27669253401,45,2,0.0,2.0
MIDDLETON GRANGE,176840.311040079,45,2,0.0,2.0
DENHAM COURT,3049.6751054852302,45,2,0.0,2.0
EDMONDSON PARK,84359.62359856321,45,2,0.0,2.0
LUDDENHAM,8610.50629370629,45,2,0.0,2.0
CARNES HILL,139028.290447504,45,2,0.0,2.0
ELIZABETH HILLS,58059.5164082221,45,2,0.0,2.0
CECIL PARK,323.0,45,2,0.0,2.0
LEN WATERS ESTATE,,45,2,0.0,2.0
LEPPINGTON,28762.7346938776,45,2,0.0,2.0
BRINGELLY,67183.983457579,45,2,0.0,2.0
GREENDALE,912.416666666667,45,2,0.0,2.0
BADGERYS CREEK,195369.501253133,45,2,0.0,2.0
KEMPS CREEK,217643.33494675698,45,2,0.0,2.0
WALLACIA,1354.30265486726,45,2,0.0,2.0
AUSTRAL,213314.675044055,45,2,0.0,2.0
ROSSMORE,189571.126776621,45,2,0.0,2.0
SILVERDALE,137.551724137931,45,2,0.0,2.0
BUSBY,467931.248233216,60,2,0.0,2.0
MILLER,511394.03790710104,60,2,0.0,2.0
CASULA,422588.60448278,60,2,0.0,2.0
CARTWRIGHT,1137966.86905201,60,2,0.0,2.0
HECKENBERG,358982.18698412704,60,2,0.0,2.0
SADLEIR,294492.966442953,60,2,0.0,2.0
LURNEA,618376.094695309,60,2,0.0,2.0
ASHCROFT,250489.23598820102,60,2,0.0,2.0
LIVERPOOL,1013958.53720213,60,2,0.0,2.0
MOOREBANK,915368.1054593109,60,2,0.0,2.0
WARWICK FARM,856743.8436695071,60,2,0.0,2.0
WATTLE GROVE,108849.055653488,60,2,0.0,2.0
CHIPPING NORTON,569970.661231471,60,2,0.0,2.0
HOLSWORTHY,394086.852432721,60,2,0.0,2.0
HAMMONDVILLE,101443.986708555,60,2,0.0,2.0
MOUNT PRITCHARD,583060.360507246,60,2,0.0,2.0
PRESTONS,333569.214584892,60,2,0.0,2.0
VOYAGER POINT,277239.94630485,60,2,0.0,2.0
PLEASURE POINT,88691.821942446,60,2,0.0,2.0
WEST HOXTON,343633.613475936,60,2,0.0,2.0
CECIL HILLS,238069.93090356898,60,2,0.0,2.0
HOXTON PARK,416867.77668736206,60,2,0.0,2.0
HINCHINBROOK,402596.580057526,60,2,0.0,2.0
GREEN VALLEY,377296.709394205,60,2,0.0,2.0
HORNINGSEA PARK,228950.59807332102,60,2,0.0,2.0
MIDDLETON GRANGE,428251.73838209995,60,2,0.0,2.0
DENHAM COURT,29542.210295358702,60,2,0.0,2.0
EDMONDSON PARK,197311.768622329,60,2,0.0,2.0
LUDDENHAM,11881.6853146853,60,2,0.0,2.0
CARNES HILL,346422.608003442,60,2,0.0,2.0
ELIZABETH HILLS,226898.75513883898,60,2,0.0,2.0
CECIL PARK,323.0,60,2,0.0,2.0
LEN WATERS ESTATE,,60,2,0.0,2.0
LEPPINGTON,130477.172541744,60,2,0.0,2.0
BRINGELLY,199507.725523607,60,2,0.0,2.0
GREENDALE,1584.66666666667,60,2,0.0,2.0
BADGERYS CREEK,572711.754385965,60,2,0.0,2.0
KEMPS CREEK,606568.079541788,60,2,0.0,2.0
WALLACIA,9802.84424778761,60,2,0.0,2.0
AUSTRAL,435494.56711700396,60,2,0.0,2.0
ROSSMORE,464830.10458311206,60,2,0.0,2.0
SILVERDALE,669.103448275862,60,2,0.0,2.0
BUSBY,2292.88427561837,15,3,0.0,3.0
MILLER,3285.19985762591,15,3,0.0,3.0
CASULA,1089.8162815589,15,3,0.0,3.0
CARTWRIGHT,4661.78421246772,15,3,0.0,3.0
HECKENBERG,1464.03841269841,15,3,0.0,3.0
SADLEIR,1830.28248932276,15,3,0.0,3.0
LURNEA,2684.5767207365197,15,3,0.0,3.0
ASHCROFT,1236.016358273,15,3,0.0,3.0
LIVERPOOL,13395.1822535158,15,3,0.0,3.0
MOOREBANK,1579.99492157104,15,3,0.0,3.0
WARWICK FARM,11036.2548048346,15,3,0.0,3.0
WATTLE GROVE,777.5886426592799,15,3,0.0,3.0
CHIPPING NORTON,1782.1044469783399,15,3,0.0,3.0
HOLSWORTHY,1227.71644983069,15,3,0.0,3.0
HAMMONDVILLE,1756.19961333978,15,3,0.0,3.0
MOUNT PRITCHARD,998.9365942028991,15,3,0.0,3.0
PRESTONS,1100.7136125654401,15,3,0.0,3.0
VOYAGER POINT,191.905311778291,15,3,0.0,3.0
PLEASURE POINT,145.23381294964,15,3,0.0,3.0
WEST HOXTON,1334.94695187166,15,3,0.0,3.0
CECIL HILLS,700.2985573272591,15,3,0.0,3.0
HOXTON PARK,2288.26577208091,15,3,0.0,3.0
HINCHINBROOK,1444.6932885905999,15,3,0.0,3.0
GREEN VALLEY,1708.42089552239,15,3,0.0,3.0
HORNINGSEA PARK,1472.83783783784,15,3,0.0,3.0
MIDDLETON GRANGE,1232.10327022375,15,3,0.0,3.0
DENHAM COURT,140.513755274262,15,3,0.0,3.0
EDMONDSON PARK,617.055694640978,15,3,0.0,3.0
LUDDENHAM,2351.53286713287,15,3,0.0,3.0
CARNES HILL,2115.55938037866,15,3,0.0,3.0
ELIZABETH HILLS,593.642264695276,15,3,0.0,3.0
CECIL PARK,323.0,15,3,0.0,3.0
LEN WATERS ESTATE,,15,3,0.0,3.0
LEPPINGTON,136.547309833024,15,3,0.0,3.0
BRINGELLY,2149.17436989705,15,3,0.0,3.0
GREENDALE,108.083333333333,15,3,0.0,3.0
BADGERYS CREEK,1423.47869674185,15,3,0.0,3.0
KEMPS CREEK,2211.63439819297,15,3,0.0,3.0
WALLACIA,15.918584070796499,15,3,0.0,3.0
AUSTRAL,6448.888324802099,15,3,0.0,3.0
ROSSMORE,2278.20764611994,15,3,0.0,3.0
SILVERDALE,0.206896551724138,15,3,0.0,3.0
BUSBY,28905.0845848057,30,3,0.0,3.0
MILLER,39549.9439402029,30,3,0.0,3.0
