shape_pt_node,shape_pt_seq,route_id,index,y,x,osmid,highway,ref,lon,lat,geometry
1836850098,68,TT_r-2056,1836850098,-3755875.4109592764,301105.36251570703,1836850098,,,150.8483375,-33.9245523,POINT (301105.362515707 -3755875.410959276)
1836850098,69,TT_r-2056,1836850098,-3755875.4109592764,301105.36251570703,1836850098,,,150.8483375,-33.9245523,POINT (301105.362515707 -3755875.410959276)
1836850094,70,TT_r-2056,1836850094,-3755855.821004541,301112.5455819699,1836850094,,,150.8484196,-33.9243771,POINT (301112.5455819699 -3755855.821004541)
1836850096,71,TT_r-2056,1836850096,-3755864.389392169,301125.11956050154,1836850096,,,150.84855359999997,-33.92445670000001,POINT (301125.1195605015 -3755864.38939217)
1821430198,72,TT_r-2056,1821430198,-3755870.261852732,301133.44697850087,1821430198,,,150.84864230000002,-33.924511200000005,POINT (301133.4469785009 -3755870.261852731)
1847391094,73,TT_r-2056,1847391094,-3755875.444308384,301143.4618241475,1847391094,,,150.8487494,-33.9245598,POINT (301143.4618241475 -3755875.444308384)
1612739283,74,TT_r-2056,1612739283,-3755891.580447355,301175.0632929307,1612739283,,,150.8490874,-33.924711200000004,POINT (301175.0632929307 -3755891.580447355)
1612739274,75,TT_r-2056,1612739274,-3755906.647076755,301210.58249516186,1612739274,,,150.849468,-33.9248537,POINT (301210.5824951619 -3755906.647076755)
1612739271,76,TT_r-2056,1612739271,-3755921.9842211218,301253.849011628,1612739271,,,150.8499323,-33.9250001,POINT (301253.849011628 -3755921.984221122)
1612739281,77,TT_r-2056,1612739281,-3755940.165626792,301325.0156550312,1612739281,,,150.8506976,-33.925177399999995,POINT (301325.0156550312 -3755940.165626792)
1612739300,78,TT_r-2056,1612739300,-3755982.131084715,301476.9920904108,1612739300,,,150.85233119999998,-33.9255843,POINT (301476.9920904108 -3755982.131084715)
697124279,79,TT_r-2056,697124279,-3756014.767532023,301595.0211684077,697124279,,,150.8535999,-33.92590070000001,POINT (301595.0211684078 -3756014.767532023)
1612739297,80,TT_r-2056,1612739297,-3756048.8985250467,301772.72902803303,1612739297,,,150.8555135,-33.92624179999999,POINT (301772.729028033 -3756048.898525047)
1612739316,81,TT_r-2056,1612739316,-3756064.154215104,301917.742892674,1612739316,,,150.8570779,-33.9264066,POINT (301917.742892674 -3756064.154215104)
1612739303,82,TT_r-2056,1612739303,-3756069.5545541937,302003.4479527796,1612739303,,,150.8580033,-33.9264714,POINT (302003.4479527796 -3756069.554554194)
1612739326,83,TT_r-2056,1612739326,-3756069.321861784,302037.4524572954,1612739326,,,150.858371,-33.926475700000005,POINT (302037.4524572954 -3756069.321861784)
1612739289,84,TT_r-2056,1612739289,-3756067.908385885,302092.95522512717,1612739289,,,150.8589714,-33.9264734,POINT (302092.9552251272 -3756067.908385885)
245839405,85,TT_r-2056,245839405,-3756065.7929839995,302156.5918897676,245839405,,,150.85965990000003,-33.926466299999994,POINT (302156.5918897676 -3756065.792984)
1821479158,86,TT_r-2056,1821479158,-3756064.267219469,302179.7385758389,1821479158,,,150.8599105,-33.9264569,POINT (302179.7385758389 -3756064.267219469)
1612739319,87,TT_r-2056,1612739319,-3756062.873933692,302214.6252679292,1612739319,,,150.860288,-33.9264509,POINT (302214.6252679292 -3756062.873933692)
1612739285,88,TT_r-2056,1612739285,-3756056.1623036964,302281.6253097212,1612739285,,,150.8610139,-33.926403,POINT (302281.6253097212 -3756056.162303696)
4180902527,89,TT_r-2056,4180902527,-3756045.8536024205,302354.6086779182,4180902527,,,150.86180530000001,-33.9263238,POINT (302354.6086779182 -3756045.853602421)
4180902528,90,TT_r-2056,4180902528,-3756041.635284817,302399.97139823594,4180902528,,,150.8622967,-33.926294299999995,POINT (302399.9713982359 -3756041.635284817)
36399611,91,TT_r-2056,36399611,-3756039.348100212,302415.4901697291,36399611,,,150.862465,-33.9262766,POINT (302415.4901697291 -3756039.348100211)
1612739322,92,TT_r-2056,1612739322,-3756014.95775812,302650.6430445004,1612739322,,,150.86501289999998,-33.926100899999994,POINT (302650.6430445004 -3756014.95775812)
1838078706,93,TT_r-2056,1838078706,-3756001.9495019694,302778.8810564081,1838078706,,,150.8664023,-33.92600770000001,POINT (302778.8810564081 -3756001.94950197)
